,name,desc,angelListUrl,location,employees,raised,website
0,Blissfully,"Blissfully automates SaaS tracking, savings, and security.",https://angel.co/blissfully,Boston,1-10,"$1,500,000",http://www.blissfully.com/
1,SV Liquidity,Fund providing access to IPO opportunities,https://angel.co/hf-liquidity,San Francisco,1-10,-,https://svlq.io
2,Tetra (YC W17),AI notetaker for meetings,https://angel.co/tetra,San Francisco,1-10,-,https://asktetra.com
3,Zipline International,-,https://angel.co/zipline-international-1,-,-,"$25,000,000",-
4,Stypi,-,https://angel.co/stypi,-,,-,-
5,Amazon Alexa,Amazon Speech Teams,https://angel.co/amazon-alexa-3,Cambridge,11-50,-,https://developer.amazon.com/alexa
6,IFTTT,Do more with the services you love,https://angel.co/ifttt,San Francisco,11-50,"$37,000,000",https://ifttt.com
7,Notion,LEGO for Work,https://angel.co/notion-software,San Francisco,1-10,-,https://notion.so/product
8,SoundBetter,Music Services Marketplace,https://angel.co/soundbetter,New York City,1-10,-,https://soundbetter.com
9,Amino Apps,Your Interests...Times Infinity,https://angel.co/amino-apps,Shanghai,11-50,"$29,050,000",http://www.AminoApps.com
10,Axiom Zen,Shape the impact of emerging technology,https://angel.co/axiomzen,Vancouver,51-200,-,http://www.axiomzen.co/
11,Bench,Online bookkeeping for your small business. ,https://angel.co/bench,Vancouver,201-500,"$49,750,000",http://www.bench.co
12,Airtime,All Together Now,https://angel.co/airtime,Brooklyn,11-50,"$41,750,000",https://airtime.com/
13,Winc,Direct-Distribution Wine Company,https://angel.co/winc,Los Angeles,51-200,"$30,600,000",http://www.winc.com
14,CrowdFlower,The essential human-in-the-loop platform for data science teams,https://angel.co/crowdflower,San Francisco,51-200,"$38,000,000",http://www.crowdflower.com
15,Ripple,"Instant, certain, low-cost cross-border payments.",https://angel.co/ripple-labs,San Francisco,51-200,"$86,500,000",http://www.ripple.com
16,Shopify,beautiful online stores,https://angel.co/shopify,Ottawa,1-10,"$122,000,000",http://www.shopify.com
17,Pinterest,"Discover recipes, home ideas, style inspiration and other ideas to try.",https://angel.co/pinterest,San Francisco,501-1000,"$1,448,500,000",http://www.pinterest.com
18,Lenda,"We make home loans honest, fast, and completely online.",https://angel.co/lenda,San Francisco,11-50,"$9,000,000",https://www.lenda.com
19,RevCascade,Marketplace automation for brands and retailers,https://angel.co/revcascade,New York City,1-10,-,http://www.revcascade.com
